FoodQuality Service Tip CheckPlusTip
3.250 1.562 10.582 1.106
3.250 1.844 10.582 1.106
3.250 2.125 10.582 1.106
3.250 2.406 10.582 1.106
3.250 2.688 10.582 1.106
3.250 2.969 10.582 1.106
3.250 3.250 11.095 1.111
3.250 3.531 11.502 1.115
3.250 3.812 11.838 1.118
3.250 4.094 12.135 1.121
3.250 4.375 12.406 1.124
3.250 4.656 12.666 1.127
3.250 4.938 12.918 1.129
3.250 5.219 13.172 1.132
3.250 5.500 13.435 1.134
3.250 5.781 13.714 1.137
3.250 6.062 14.019 1.140
3.250 6.344 14.367 1.144
3.250 6.625 14.781 1.148
3.250 6.906 15.325 1.153
3.250 7.188 15.582 1.156
3.250 7.469 15.582 1.156
3.250 7.750 15.582 1.156
3.250 8.031 15.582 1.156
3.250 8.312 15.582 1.156
3.250 8.594 15.582 1.156
3.250 8.875 15.582 1.156
3.250 9.156 15.582 1.156
3.250 9.438 15.582 1.156
3.250 9.719 15.582 1.156
3.531 1.000 11.024 1.110
3.531 1.281 11.024 1.110
3.531 1.562 11.024 1.110
3.531 1.844 11.024 1.110
3.531 2.125 11.024 1.110
3.531 2.406 11.024 1.110
3.531 2.688 11.024 1.110
3.531 2.969 11.024 1.110
3.531 3.250 11.502 1.115
3.531 3.531 11.891 1.119
3.531 3.812 12.220 1.122
3.531 4.094 12.517 1.125
3.531 4.375 12.793 1.128
3.531 4.656 13.059 1.131
3.531 4.938 13.322 1.133
3.531 5.219 13.586 1.136
3.531 5.500 13.860 1.139
3.531 5.781 14.152 1.142
3.531 6.062 14.468 1.145
3.531 6.344 14.824 1.148
3.531 6.625 15.242 1.152
3.531 6.906 15.777 1.158
3.531 7.188 16.024 1.160
3.531 7.469 16.024 1.160
3.531 7.750 16.024 1.160
3.531 8.031 16.024 1.160
3.531 8.312 16.024 1.160
3.531 8.594 16.024 1.160
3.531 8.875 16.024 1.160
3.531 9.156 16.024 1.160
3.531 9.438 16.024 1.160
3.531 9.719 16.024 1.160
3.812 1.000 11.377 1.114
3.812 1.281 11.377 1.114
3.812 1.562 11.377 1.114
3.812 1.844 11.377 1.114
3.812 2.125 11.377 1.114
3.812 2.406 11.377 1.114
3.812 2.688 11.377 1.114
3.812 2.969 11.377 1.114
3.812 3.250 11.838 1.118
3.812 3.531 12.220 1.122
3.812 3.812 12.549 1.125
3.812 4.094 12.847 1.128
3.812 4.375 13.129 1.131
3.812 4.656 13.402 1.134
3.812 4.938 13.672 1.137
3.812 5.219 13.945 1.139
3.812 5.500 14.228 1.142
3.812 5.781 14.525 1.145
3.812 6.062 14.846 1.148
3.812 6.344 15.205 1.152
3.812 6.625 15.619 1.156
3.812 6.906 16.140 1.161
3.812 7.188 16.377 1.164
3.812 7.469 16.377 1.164
3.812 7.750 16.377 1.164
3.812 8.031 16.377 1.164
3.812 8.312 16.377 1.164
3.812 8.594 16.377 1.164
3.812 8.875 16.377 1.164
3.812 9.156 16.377 1.164
3.812 9.438 16.377 1.164
3.812 9.719 16.377 1.164
4.094 1.000 11.680 1.117
4.094 1.281 11.680 1.117
4.094 1.562 11.680 1.117
4.094 1.844 11.680 1.117
4.094 2.125 11.680 1.117
4.094 2.406 11.680 1.117
4.094 2.688 11.680 1.117
4.094 2.969 11.680 1.117
4.094 3.250 12.135 1.121
4.094 3.531 12.517 1.125
4.094 3.812 12.847 1.128
4.094 4.094 13.150 1.131
4.094 4.375 13.437 1.134
4.094 4.656 13.717 1.137
4.094 4.938 13.993 1.140
4.094 5.219 14.272 1.143
4.094 5.500 14.559 1.146
4.094 5.781 14.860 1.149
4.094 6.062 15.182 1.152
4.094 6.344 15.539 1.155
4.094 6.625 15.947 1.159
4.094 6.906 16.452 1.165
4.094 7.188 16.679 1.167
4.094 7.469 16.679 1.167
4.094 7.750 16.679 1.167
4.094 8.031 16.679 1.167
4.094 8.312 16.679 1.167
4.094 8.594 16.679 1.167
4.094 8.875 16.679 1.167
4.094 9.156 16.679 1.167
4.094 9.438 16.679 1.167
4.094 9.719 16.679 1.167
4.375 1.000 11.951 1.120
4.375 1.281 11.951 1.120
4.375 1.562 11.951 1.120
4.375 1.844 11.951 1.120
4.375 2.125 11.951 1.120
4.375 2.406 11.951 1.120
4.375 2.688 11.951 1.120
4.375 2.969 11.951 1.120
4.375 3.250 12.406 1.124
4.375 3.531 12.793 1.128
4.375 3.812 13.129 1.131
4.375 4.094 13.437 1.134
4.375 4.375 13.730 1.137
4.375 4.656 14.015 1.140
4.375 4.938 14.296 1.143
4.375 5.219 14.578 1.146
4.375 5.500 14.868 1.149
4.375 5.781 15.169 1.152
4.375 6.062 15.491 1.155
4.375 6.344 15.843 1.158
4.375 6.625 16.242 1.162
4.375 6.906 16.731 1.167
4.375 7.188 16.951 1.170
4.375 7.469 16.951 1.170
4.375 7.750 16.951 1.170
4.375 8.031 16.951 1.170
4.375 8.312 16.951 1.170
4.375 8.594 16.951 1.170
4.375 8.875 16.951 1.170
4.375 9.156 16.951 1.170
4.375 9.438 16.951 1.170
4.375 9.719 16.951 1.170
4.656 1.000 12.203 1.122
4.656 1.281 12.203 1.122
4.656 1.562 12.203 1.122
4.656 1.844 12.203 1.122
4.656 2.125 12.203 1.122
4.656 2.406 12.203 1.122
4.656 2.688 12.203 1.122
4.656 2.969 12.203 1.122
4.656 3.250 12.666 1.127
4.656 3.531 13.059 1.131
4.656 3.812 13.402 1.134
4.656 4.094 13.717 1.137
4.656 4.375 14.015 1.140
4.656 4.656 14.303 1.143
4.656 4.938 14.587 1.146
4.656 5.219 14.872 1.149
4.656 5.500 15.162 1.152
4.656 5.781 15.463 1.155
4.656 6.062 15.782 1.158
4.656 6.344 16.127 1.161
4.656 6.625 16.516 1.165
4.656 6.906 16.992 1.170
4.656 7.188 17.203 1.172
4.656 7.469 17.203 1.172
4.656 7.750 17.203 1.172
4.656 8.031 17.203 1.172
4.656 8.312 17.203 1.172
4.656 8.594 17.203 1.172
4.656 8.875 17.203 1.172
4.656 9.156 17.203 1.172
4.656 9.438 17.203 1.172
4.656 9.719 17.203 1.172
4.938 1.000 12.446 1.124
4.938 1.281 12.446 1.124
4.938 1.562 12.446 1.124
4.938 1.844 12.446 1.124
4.938 2.125 12.446 1.124
4.938 2.406 12.446 1.124
4.938 2.688 12.446 1.124
4.938 2.969 12.446 1.124
4.938 3.250 12.918 1.129
4.938 3.531 13.322 1.133
4.938 3.812 13.672 1.137
4.938 4.094 13.993 1.140
4.938 4.375 14.296 1.143
4.938 4.656 14.587 1.146
4.938 4.938 14.873 1.149
4.938 5.219 15.159 1.152
4.938 5.500 15.448 1.154
4.938 5.781 15.747 1.157
4.938 6.062 16.060 1.161
4.938 6.344 16.399 1.164
4.938 6.625 16.779 1.168
4.938 6.906 17.241 1.172
4.938 7.188 17.447 1.174
4.938 7.469 17.447 1.174
4.938 7.750 17.447 1.174
4.938 8.031 17.447 1.174
4.938 8.312 17.447 1.174
4.938 8.594 17.447 1.174
4.938 8.875 17.447 1.174
4.938 9.156 17.447 1.174
4.938 9.438 17.447 1.174
4.938 9.719 17.447 1.174
5.219 1.000 12.688 1.127
5.219 1.281 12.688 1.127
5.219 1.562 12.688 1.127
5.219 1.844 12.688 1.127
5.219 2.125 12.688 1.127
5.219 2.406 12.688 1.127
5.219 2.688 12.688 1.127
5.219 2.969 12.688 1.127
5.219 3.250 13.172 1.132
5.219 3.531 13.586 1.136
5.219 3.812 13.945 1.139
5.219 4.094 14.272 1.143
5.219 4.375 14.578 1.146
5.219 4.656 14.872 1.149
5.219 4.938 15.159 1.152
5.219 5.219 15.443 1.154
5.219 5.500 15.731 1.157
5.219 5.781 16.026 1.160
5.219 6.062 16.334 1.163
5.219 6.344 16.666 1.167
5.219 6.625 17.036 1.170
5.219 6.906 17.487 1.175
5.219 7.188 17.688 1.177
5.219 7.469 17.688 1.177
5.219 7.750 17.688 1.177
5.219 8.031 17.688 1.177
5.219 8.312 17.688 1.177
5.219 8.594 17.688 1.177
5.219 8.875 17.688 1.177
5.219 9.156 17.688 1.177
5.219 9.438 17.688 1.177
5.219 9.719 17.688 1.177
5.500 1.000 12.935 1.129
5.500 1.281 12.935 1.129
5.500 1.562 12.935 1.129
5.500 1.844 12.935 1.129
5.500 2.125 12.935 1.129
5.500 2.406 12.935 1.129
5.500 2.688 12.935 1.129
5.500 2.969 12.935 1.129
5.500 3.250 13.435 1.134
5.500 3.531 13.860 1.139
5.500 3.812 14.228 1.142
5.500 4.094 14.559 1.146
5.500 4.375 14.868 1.149
5.500 4.656 15.162 1.152
5.500 4.938 15.448 1.154
5.500 5.219 15.731 1.157
5.500 5.500 16.015 1.160
5.500 5.781 16.306 1.163
5.500 6.062 16.608 1.166
5.500 6.344 16.933 1.169
5.500 6.625 17.296 1.173
5.500 6.906 17.737 1.177
5.500 7.188 17.935 1.179
5.500 7.469 17.935 1.179
5.500 7.750 17.935 1.179
5.500 8.031 17.935 1.179
5.500 8.312 17.935 1.179
5.500 8.594 17.935 1.179
5.500 8.875 17.935 1.179
5.500 9.156 17.935 1.179
5.500 9.438 17.935 1.179
5.500 9.719 17.935 1.179
5.781 1.000 13.197 1.132
5.781 1.281 13.197 1.132
5.781 1.562 13.197 1.132
5.781 1.844 13.197 1.132
5.781 2.125 13.197 1.132
5.781 2.406 13.197 1.132
5.781 2.688 13.197 1.132
5.781 2.969 13.197 1.132
5.781 3.250 13.714 1.137
5.781 3.531 14.152 1.142
5.781 3.812 14.525 1.145
5.781 4.094 14.860 1.149
5.781 4.375 15.169 1.152
5.781 4.656 15.463 1.155
5.781 4.938 15.747 1.157
5.781 5.219 16.026 1.160
5.781 5.500 16.306 1.163
5.781 5.781 16.590 1.166
5.781 6.062 16.888 1.169
5.781 6.344 17.206 1.172
5.781 6.625 17.563 1.176
5.781 6.906 17.999 1.180
5.781 7.188 18.197 1.182
5.781 7.469 18.197 1.182
5.781 7.750 18.197 1.182
5.781 8.031 18.197 1.182
5.781 8.312 18.197 1.182
5.781 8.594 18.197 1.182
5.781 8.875 18.197 1.182
5.781 9.156 18.197 1.182
5.781 9.438 18.197 1.182
5.781 9.719 18.197 1.182
6.062 1.000 13.484 1.135
6.062 1.281 13.484 1.135
6.062 1.562 13.484 1.135
6.062 1.844 13.484 1.135
6.062 2.125 13.484 1.135
6.062 2.406 13.484 1.135
6.062 2.688 13.484 1.135
6.062 2.969 13.484 1.135
6.062 3.250 14.019 1.140
6.062 3.531 14.468 1.145
6.062 3.812 14.846 1.148
6.062 4.094 15.182 1.152
6.062 4.375 15.491 1.155
6.062 4.656 15.782 1.158
6.062 4.938 16.060 1.161
6.062 5.219 16.334 1.163
6.062 5.500 16.608 1.166
6.062 5.781 16.888 1.169
6.062 6.062 17.180 1.172
6.062 6.344 17.494 1.175
6.062 6.625 17.847 1.178
6.062 6.906 18.284 1.183
6.062 7.188 18.483 1.185
6.062 7.469 18.483 1.185
6.062 7.750 18.483 1.185
6.062 8.031 18.483 1.185
6.062 8.312 18.483 1.185
6.062 8.594 18.483 1.185
6.062 8.875 18.483 1.185
6.062 9.156 18.483 1.185
6.062 9.438 18.483 1.185
6.062 9.719 18.483 1.185
6.344 1.000 13.810 1.138
6.344 1.281 13.810 1.138
6.344 1.562 13.810 1.138
6.344 1.844 13.810 1.138
6.344 2.125 13.810 1.138
6.344 2.406 13.810 1.138
6.344 2.688 13.810 1.138
6.344 2.969 13.810 1.138
6.344 3.250 14.367 1.144
6.344 3.531 14.824 1.148
6.344 3.812 15.205 1.152
6.344 4.094 15.539 1.155
6.344 4.375 15.843 1.158
6.344 4.656 16.127 1.161
6.344 4.938 16.399 1.164
6.344 5.219 16.666 1.167
6.344 5.500 16.933 1.169
6.344 5.781 17.206 1.172
6.344 6.062 17.494 1.175
6.344 6.344 17.807 1.178
6.344 6.625 18.162 1.182
6.344 6.906 18.604 1.186
6.344 7.188 18.810 1.188
6.344 7.469 18.810 1.188
6.344 7.750 18.810 1.188
6.344 8.031 18.810 1.188
6.344 8.312 18.810 1.188
6.344 8.594 18.810 1.188
6.344 8.875 18.810 1.188
6.344 9.156 18.810 1.188
6.344 9.438 18.810 1.188
6.344 9.719 18.810 1.188
6.625 1.000 14.206 1.142
6.625 1.281 14.206 1.142
6.625 1.562 14.206 1.142
6.625 1.844 14.206 1.142
6.625 2.125 14.206 1.142
6.625 2.406 14.206 1.142
6.625 2.688 14.206 1.142
6.625 2.969 14.206 1.142
6.625 3.250 14.781 1.148
6.625 3.531 15.242 1.152
6.625 3.812 15.619 1.156
6.625 4.094 15.947 1.159
6.625 4.375 16.242 1.162
6.625 4.656 16.516 1.165
6.625 4.938 16.779 1.168
6.625 5.219 17.036 1.170
6.625 5.500 17.296 1.173
6.625 5.781 17.563 1.176
6.625 6.062 17.847 1.178
6.625 6.344 18.162 1.182
6.625 6.625 18.525 1.185
6.625 6.906 18.988 1.190
6.625 7.188 19.206 1.192
6.625 7.469 19.206 1.192
6.625 7.750 19.206 1.192
6.625 8.031 19.206 1.192
6.625 8.312 19.206 1.192
6.625 8.594 19.206 1.192
6.625 8.875 19.206 1.192
6.625 9.156 19.206 1.192
6.625 9.438 19.206 1.192
6.625 9.719 19.206 1.192
6.906 1.000 14.739 1.147
6.906 1.281 14.739 1.147
6.906 1.562 14.739 1.147
6.906 1.844 14.739 1.147
6.906 2.125 14.739 1.147
6.906 2.406 14.739 1.147
6.906 2.688 14.739 1.147
6.906 2.969 14.739 1.147
6.906 3.250 15.325 1.153
6.906 3.531 15.777 1.158
6.906 3.812 16.140 1.161
6.906 4.094 16.452 1.165
6.906 4.375 16.731 1.167
6.906 4.656 16.992 1.170
6.906 4.938 17.241 1.172
6.906 5.219 17.487 1.175
6.906 5.500 17.737 1.177
6.906 5.781 17.999 1.180
6.906 6.062 18.284 1.183
6.906 6.344 18.604 1.186
6.906 6.625 18.988 1.190
6.906 6.906 19.494 1.195
6.906 7.188 19.739 1.197
6.906 7.469 19.739 1.197
6.906 7.750 19.739 1.197
6.906 8.031 19.739 1.197
6.906 8.312 19.739 1.197
6.906 8.594 19.739 1.197
6.906 8.875 19.739 1.197
6.906 9.156 19.739 1.197
6.906 9.438 19.739 1.197
6.906 9.719 19.739 1.197
7.188 1.000 15.000 1.150
7.188 1.281 15.000 1.150
7.188 1.562 15.000 1.150
7.188 1.844 15.000 1.150
7.188 2.125 15.000 1.150
7.188 2.406 15.000 1.150
7.188 2.688 15.000 1.150
7.188 2.969 15.000 1.150
7.188 3.250 15.582 1.156
7.188 3.531 16.024 1.160
7.188 3.812 16.377 1.164
7.188 4.094 16.679 1.167
7.188 4.375 16.951 1.170
7.188 4.656 17.203 1.172
7.188 4.938 17.447 1.174
7.188 5.219 17.688 1.177
7.188 5.500 17.935 1.179
7.188 5.781 18.197 1.182
7.188 6.062 18.483 1.185
7.188 6.344 18.810 1.188
7.188 6.625 19.206 1.192
7.188 6.906 19.739 1.197
7.188 7.188 20.000 1.200
7.188 7.469 20.000 1.200
7.188 7.750 20.000 1.200
7.188 8.031 20.000 1.200
7.188 8.312 20.000 1.200
7.188 8.594 20.000 1.200
7.188 8.875 20.000 1.200
7.188 9.156 20.000 1.200
7.188 9.438 20.000 1.200
7.188 9.719 20.000 1.200
7.469 1.000 15.000 1.150
7.469 1.281 15.000 1.150
7.469 1.562 15.000 1.150
7.469 1.844 15.000 1.150
7.469 2.125 15.000 1.150
7.469 2.406 15.000 1.150
7.469 2.688 15.000 1.150
7.469 2.969 15.000 1.150
7.469 3.250 15.582 1.156
7.469 3.531 16.024 1.160
7.469 3.812 16.377 1.164
7.469 4.094 16.679 1.167
7.469 4.375 16.951 1.170
7.469 4.656 17.203 1.172
7.469 4.938 17.447 1.174
7.469 5.219 17.688 1.177
7.469 5.500 17.935 1.179
7.469 5.781 18.197 1.182
7.469 6.062 18.483 1.185
7.469 6.344 18.810 1.188
7.469 6.625 19.206 1.192
7.469 6.906 19.739 1.197
7.469 7.188 20.000 1.200
7.469 7.469 20.000 1.200
7.469 7.750 20.000 1.200
7.469 8.031 20.000 1.200
7.469 8.312 20.000 1.200
7.469 8.594 20.000 1.200
7.469 8.875 20.000 1.200
7.469 9.156 20.000 1.200
7.469 9.438 20.000 1.200
7.469 9.719 20.000 1.200
7.750 1.000 15.000 1.150
7.750 1.281 15.000 1.150
7.750 1.562 15.000 1.150
7.750 1.844 15.000 1.150
7.750 2.125 15.000 1.150
7.750 2.406 15.000 1.150
7.750 2.688 15.000 1.150
7.750 2.969 15.000 1.150
7.750 3.250 15.582 1.156
7.750 3.531 16.024 1.160
7.750 3.812 16.377 1.164
7.750 4.094 16.679 1.167
7.750 4.375 16.951 1.170
7.750 4.656 17.203 1.172
7.750 4.938 17.447 1.174
7.750 5.219 17.688 1.177
7.750 5.500 17.935 1.179
7.750 5.781 18.197 1.182
7.750 6.062 18.483 1.185
7.750 6.344 18.810 1.188
7.750 6.625 19.206 1.192
7.750 6.906 19.739 1.197
7.750 7.188 20.000 1.200
7.750 7.469 20.000 1.200
7.750 7.750 20.000 1.200
7.750 8.031 20.000 1.200
7.750 8.312 20.000 1.200
7.750 8.594 20.000 1.200
7.750 8.875 20.000 1.200
7.750 9.156 20.000 1.200
7.750 9.438 20.000 1.200
7.750 9.719 20.000 1.200
8.031 1.000 15.000 1.150
8.031 1.281 15.000 1.150
8.031 1.562 15.000 1.150
8.031 1.844 15.000 1.150
8.031 2.125 15.000 1.150
8.031 2.406 15.000 1.150
8.031 2.688 15.000 1.150
8.031 2.969 15.000 1.150
8.031 3.250 15.582 1.156
8.031 3.531 16.024 1.160
8.031 3.812 16.377 1.164
8.031 4.094 16.679 1.167
8.031 4.375 16.951 1.170
8.031 4.656 17.203 1.172
8.031 4.938 17.447 1.174
8.031 5.219 17.688 1.177
8.031 5.500 17.935 1.179
8.031 5.781 18.197 1.182
8.031 6.062 18.483 1.185
8.031 6.344 18.810 1.188
8.031 6.625 19.206 1.192
8.031 6.906 19.739 1.197
8.031 7.188 20.000 1.200
8.031 7.469 20.000 1.200
8.031 7.750 20.000 1.200
8.031 8.031 20.000 1.200
8.031 8.312 20.000 1.200
8.031 8.594 20.000 1.200
8.031 8.875 20.000 1.200
8.031 9.156 20.000 1.200
8.031 9.438 20.000 1.200
8.031 9.719 20.000 1.200
8.312 1.000 15.000 1.150
8.312 1.281 15.000 1.150
8.312 1.562 15.000 1.150
8.312 1.844 15.000 1.150
8.312 2.125 15.000 1.150
8.312 2.406 15.000 1.150
8.312 2.688 15.000 1.150
8.312 2.969 15.000 1.150
8.312 3.250 15.582 1.156
8.312 3.531 16.024 1.160
8.312 3.812 16.377 1.164
8.312 4.094 16.679 1.167
8.312 4.375 16.951 1.170
8.312 4.656 17.203 1.172
8.312 4.938 17.447 1.174
8.312 5.219 17.688 1.177
8.312 5.500 17.935 1.179
8.312 5.781 18.197 1.182
8.312 6.062 18.483 1.185
8.312 6.344 18.810 1.188
8.312 6.625 19.206 1.192
8.312 6.906 19.739 1.197
8.312 7.188 20.000 1.200
8.312 7.469 20.000 1.200
8.312 7.750 20.000 1.200
8.312 8.031 20.000 1.200
8.312 8.312 20.000 1.200
8.312 8.594 20.000 1.200
8.312 8.875 20.000 1.200
8.312 9.156 20.000 1.200
8.312 9.438 20.000 1.200
8.312 9.719 20.000 1.200
8.594 1.000 15.000 1.150
8.594 1.281 15.000 1.150
8.594 1.562 15.000 1.150
8.594 1.844 15.000 1.150
8.594 2.125 15.000 1.150
8.594 2.406 15.000 1.150
8.594 2.688 15.000 1.150
8.594 2.969 15.000 1.150
