Age RiskTolerance PercentageInStocks
35.000 1.250 49.711
35.000 1.562 49.711
35.000 1.875 49.711
35.000 2.188 49.752
35.000 2.500 50.000
35.000 2.812 50.479
35.000 3.125 51.199
35.000 3.438 52.169
35.000 3.750 53.400
35.000 4.062 54.895
35.000 4.375 56.639
35.000 4.688 58.587
35.000 5.000 60.647
35.000 5.312 62.625
35.000 5.625 64.446
35.000 5.938 66.134
35.000 6.250 67.688
35.000 6.562 69.086
35.000 6.875 70.292
35.000 7.188 71.261
35.000 7.500 71.950
35.000 7.812 72.322
35.000 8.125 72.383
35.000 8.438 72.383
35.000 8.750 72.383
35.000 9.062 72.383
35.000 9.375 72.383
35.000 9.688 72.383
37.500 0.000 49.346
37.500 0.312 49.346
37.500 0.625 49.346
37.500 0.938 49.346
37.500 1.250 49.346
37.500 1.562 49.346
37.500 1.875 49.346
37.500 2.188 49.387
37.500 2.500 49.635
37.500 2.812 50.115
37.500 3.125 50.833
37.500 3.438 51.800
37.500 3.750 53.026
37.500 4.062 54.511
37.500 4.375 56.241
37.500 4.688 58.174
37.500 5.000 60.221
37.500 5.312 62.186
37.500 5.625 63.993
37.500 5.938 65.667
37.500 6.250 67.206
37.500 6.562 68.590
37.500 6.875 69.783
37.500 7.188 70.742
37.500 7.500 71.423
37.500 7.812 71.790
37.500 8.125 71.851
37.500 8.438 71.851
37.500 8.750 71.851
37.500 9.062 71.851
37.500 9.375 71.851
37.500 9.688 71.851
40.000 0.000 48.829
40.000 0.312 48.829
40.000 0.625 48.829
40.000 0.938 48.829
40.000 1.250 48.829
40.000 1.562 48.829
40.000 1.875 48.829
40.000 2.188 48.869
40.000 2.500 49.119
40.000 2.812 49.598
40.000 3.125 50.316
40.000 3.438 51.281
40.000 3.750 52.500
40.000 4.062 53.974
40.000 4.375 55.689
40.000 4.688 57.604
40.000 5.000 59.635
40.000 5.312 61.586
40.000 5.625 63.377
40.000 5.938 65.032
40.000 6.250 66.553
40.000 6.562 67.919
40.000 6.875 69.095
40.000 7.188 70.040
40.000 7.500 70.710
40.000 7.812 71.073
40.000 8.125 71.133
40.000 8.438 71.133
40.000 8.750 71.133
40.000 9.062 71.133
40.000 9.375 71.133
40.000 9.688 71.133
42.500 0.000 48.153
42.500 0.312 48.153
42.500 0.625 48.153
42.500 0.938 48.153
42.500 1.250 48.153
42.500 1.562 48.153
42.500 1.875 48.153
42.500 2.188 48.193
42.500 2.500 48.444
42.500 2.812 48.926
42.500 3.125 49.644
42.500 3.438 50.608
42.500 3.750 51.821
42.500 4.062 53.284
42.500 4.375 54.984
42.500 4.688 56.882
42.500 5.000 58.900
42.500 5.312 60.840
42.500 5.625 62.613
42.500 5.938 64.248
42.500 6.250 65.747
42.500 6.562 67.092
42.500 6.875 68.249
42.500 7.188 69.177
42.500 7.500 69.835
42.500 7.812 70.191
42.500 8.125 70.250
42.500 8.438 70.250
42.500 8.750 70.250
42.500 9.062 70.250
42.500 9.375 70.250
42.500 9.688 70.250
45.000 0.000 47.311
45.000 0.312 47.311
45.000 0.625 47.311
45.000 0.938 47.311
45.000 1.250 47.311
45.000 1.562 47.311
45.000 1.875 47.311
45.000 2.188 47.353
45.000 2.500 47.606
45.000 2.812 48.091
45.000 3.125 48.814
45.000 3.438 49.778
45.000 3.750 50.988
45.000 4.062 52.443
45.000 4.375 54.130
45.000 4.688 56.014
45.000 5.000 58.025
45.000 5.312 59.958
45.000 5.625 61.717
45.000 5.938 63.333
45.000 6.250 64.810
45.000 6.562 66.131
45.000 6.875 67.266
45.000 7.188 68.176
45.000 7.500 68.821
45.000 7.812 69.169
45.000 8.125 69.226
45.000 8.438 69.226
45.000 8.750 69.226
45.000 9.062 69.226
45.000 9.375 69.226
45.000 9.688 69.226
47.500 0.000 46.300
47.500 0.312 46.300
47.500 0.625 46.300
47.500 0.938 46.300
47.500 1.250 46.300
47.500 1.562 46.300
47.500 1.875 46.300
47.500 2.188 46.342
47.500 2.500 46.600
47.500 2.812 47.092
47.500 3.125 47.821
47.500 3.438 48.790
47.500 3.750 50.000
47.500 4.062 51.450
47.500 4.375 53.129
47.500 4.688 55.006
47.500 5.000 57.019
47.500 5.312 58.954
47.500 5.625 60.703
47.500 5.938 62.302
47.500 6.250 63.757
47.500 6.562 65.055
47.500 6.875 66.168
47.500 7.188 67.058
47.500 7.500 67.688
47.500 7.812 68.028
47.500 8.125 68.084
47.500 8.438 68.084
47.500 8.750 68.084
47.500 9.062 68.084
47.500 9.375 68.084
47.500 9.688 68.084
50.000 0.000 45.119
50.000 0.312 45.119
50.000 0.625 45.119
50.000 0.938 45.119
50.000 1.250 45.119
50.000 1.562 45.119
50.000 1.875 45.119
50.000 2.188 45.162
50.000 2.500 45.425
50.000 2.812 45.926
50.000 3.125 46.666
50.000 3.438 47.644
50.000 3.750 48.859
50.000 4.062 50.308
50.000 4.375 51.983
50.000 4.688 53.860
50.000 5.000 55.884
50.000 5.312 57.833
50.000 5.625 59.581
50.000 5.938 61.168
50.000 6.250 62.605
50.000 6.562 63.881
50.000 6.875 64.971
50.000 7.188 65.841
50.000 7.500 66.456
50.000 7.812 66.788
50.000 8.125 66.843
50.000 8.438 66.843
50.000 8.750 66.843
50.000 9.062 66.843
50.000 9.375 66.843
50.000 9.688 66.843
52.500 0.000 43.772
52.500 0.312 43.772
52.500 0.625 43.772
52.500 0.938 43.772
52.500 1.250 43.772
52.500 1.562 43.772
52.500 1.875 43.772
52.500 2.188 43.816
52.500 2.500 44.087
52.500 2.812 44.601
52.500 3.125 45.355
52.500 3.438 46.345
52.500 3.750 47.569
52.500 4.062 49.021
52.500 4.375 50.696
52.500 4.688 52.576
52.500 5.000 54.621
52.500 5.312 56.595
52.500 5.625 58.354
52.500 5.938 59.937
52.500 6.250 61.360
52.500 6.562 62.617
52.500 6.875 63.686
52.500 7.188 64.537
52.500 7.500 65.137
52.500 7.812 65.460
52.500 8.125 65.513
52.500 8.438 65.513
52.500 8.750 65.513
52.500 9.062 65.513
52.500 9.375 65.513
52.500 9.688 65.513
55.000 0.000 42.278
55.000 0.312 42.278
55.000 0.625 42.278
55.000 0.938 42.278
55.000 1.250 42.278
55.000 1.562 42.278
55.000 1.875 42.278
55.000 2.188 42.324
55.000 2.500 42.603
55.000 2.812 43.132
55.000 3.125 43.903
55.000 3.438 44.909
55.000 3.750 46.142
55.000 4.062 47.597
55.000 4.375 49.271
55.000 4.688 51.155
55.000 5.000 53.225
55.000 5.312 55.236
55.000 5.625 57.016
55.000 5.938 58.606
55.000 6.250 60.023
55.000 6.562 61.266
55.000 6.875 62.317
55.000 7.188 63.149
55.000 7.500 63.735
55.000 7.812 64.049
55.000 8.125 64.101
55.000 8.438 64.101
55.000 8.750 64.101
55.000 9.062 64.101
55.000 9.375 64.101
55.000 9.688 64.101
57.500 0.000 40.670
57.500 0.312 40.670
57.500 0.625 40.670
57.500 0.938 40.670
57.500 1.250 40.670
57.500 1.562 40.670
57.500 1.875 40.670
57.500 2.188 40.717
57.500 2.500 41.006
57.500 2.812 41.551
57.500 3.125 42.340
57.500 3.438 43.360
57.500 3.750 44.600
57.500 4.062 46.052
57.500 4.375 47.718
57.500 4.688 49.598
57.500 5.000 51.687
57.500 5.312 53.739
57.500 5.625 55.553
57.500 5.938 57.162
57.500 6.250 58.583
57.500 6.562 59.819
57.500 6.875 60.856
57.500 7.188 61.672
57.500 7.500 62.244
57.500 7.812 62.549
57.500 8.125 62.600
57.500 8.438 62.600
57.500 8.750 62.600
57.500 9.062 62.600
57.500 9.375 62.600
57.500 9.688 62.600
60.000 0.000 39.006
60.000 0.312 39.006
60.000 0.625 39.006
60.000 0.938 39.006
60.000 1.250 39.006
60.000 1.562 39.006
60.000 1.875 39.006
60.000 2.188 39.055
60.000 2.500 39.353
60.000 2.812 39.911
60.000 3.125 40.714
60.000 3.438 41.743
60.000 3.750 42.981
60.000 4.062 44.420
60.000 4.375 46.060
60.000 4.688 47.915
60.000 5.000 50.000
60.000 5.312 52.085
60.000 5.625 53.940
60.000 5.938 55.580
60.000 6.250 57.019
60.000 6.562 58.257
60.000 6.875 59.286
60.000 7.188 60.089
60.000 7.500 60.647
60.000 7.812 60.945
60.000 8.125 60.994
60.000 8.438 60.994
60.000 8.750 60.994
60.000 9.062 60.994
60.000 9.375 60.994
60.000 9.688 60.994
62.500 0.000 37.400
62.500 0.312 37.400
62.500 0.625 37.400
62.500 0.938 37.400
62.500 1.250 37.400
62.500 1.562 37.400
62.500 1.875 37.400
62.500 2.188 37.451
62.500 2.500 37.756
62.500 2.812 38.328
62.500 3.125 39.144
62.500 3.438 40.181
62.500 3.750 41.417
62.500 4.062 42.838
62.500 4.375 44.447
62.500 4.688 46.261
62.500 5.000 48.313
62.500 5.312 50.402
62.500 5.625 52.282
62.500 5.938 53.948
62.500 6.250 55.400
62.500 6.562 56.640
62.500 6.875 57.660
62.500 7.188 58.449
62.500 7.500 58.994
62.500 7.812 59.283
62.500 8.125 59.330
62.500 8.438 59.330
62.500 8.750 59.330
62.500 9.062 59.330
62.500 9.375 59.330
62.500 9.688 59.330
65.000 0.000 35.899
65.000 0.312 35.899
65.000 0.625 35.899
65.000 0.938 35.899
65.000 1.250 35.899
65.000 1.562 35.899
65.000 1.875 35.899
65.000 2.188 35.951
65.000 2.500 36.265
65.000 2.812 36.851
65.000 3.125 37.683
65.000 3.438 38.734
65.000 3.750 39.977
65.000 4.062 41.394
65.000 4.375 42.984
65.000 4.688 44.764
65.000 5.000 46.775
65.000 5.312 48.845
65.000 5.625 50.729
65.000 5.938 52.403
65.000 6.250 53.858
65.000 6.562 55.091
65.000 6.875 56.097
65.000 7.188 56.868
65.000 7.500 57.397
65.000 7.812 57.676
65.000 8.125 57.722
65.000 8.438 57.722
65.000 8.750 57.722
65.000 9.062 57.722
65.000 9.375 57.722
65.000 9.688 57.722
67.500 0.000 34.487
67.500 0.312 34.487
67.500 0.625 34.487
67.500 0.938 34.487
67.500 1.250 34.487
67.500 1.562 34.487
67.500 1.875 34.487
67.500 2.188 34.540
67.500 2.500 34.863
67.500 2.812 35.463
67.500 3.125 36.314
67.500 3.438 37.383
67.500 3.750 38.640
67.500 4.062 40.063
67.500 4.375 41.646
67.500 4.688 43.405
67.500 5.000 45.379
67.500 5.312 47.424
67.500 5.625 49.304
67.500 5.938 50.979
67.500 6.250 52.431
67.500 6.562 53.655
67.500 6.875 54.645
67.500 7.188 55.399
67.500 7.500 55.913
67.500 7.812 56.184
67.500 8.125 56.228
67.500 8.438 56.228
67.500 8.750 56.228
67.500 9.062 56.228
67.500 9.375 56.228
67.500 9.688 56.228
70.000 0.000 33.157
70.000 0.312 33.157
70.000 0.625 33.157
70.000 0.938 33.157
70.000 1.250 33.157
70.000 1.562 33.157
70.000 1.875 33.157
70.000 2.188 33.212
70.000 2.500 33.544
70.000 2.812 34.159
70.000 3.125 35.029
70.000 3.438 36.119
70.000 3.750 37.395
70.000 4.062 38.832
70.000 4.375 40.419
70.000 4.688 42.167
70.000 5.000 44.116
70.000 5.312 46.140
70.000 5.625 48.017
70.000 5.938 49.692
70.000 6.250 51.141
70.000 6.562 52.356
70.000 6.875 53.334
70.000 7.188 54.074
70.000 7.500 54.575
70.000 7.812 54.838
70.000 8.125 54.881
70.000 8.438 54.881
70.000 8.750 54.881
70.000 9.062 54.881
70.000 9.375 54.881
70.000 9.688 54.881
72.500 0.000 31.916
72.500 0.312 31.916
72.500 0.625 31.916
72.500 0.938 31.916
72.500 1.250 31.916
72.500 1.562 31.916
72.500 1.875 31.916
72.500 2.188 31.972
72.500 2.500 32.312
72.500 2.812 32.942
72.500 3.125 33.832
72.500 3.438 34.945
72.500 3.750 36.243
72.500 4.062 37.698
72.500 4.375 39.297
72.500 4.688 41.046
72.500 5.000 42.981
72.500 5.312 44.994
72.500 5.625 46.871
72.500 5.938 48.550
72.500 6.250 50.000
72.500 6.562 51.210
72.500 6.875 52.179
72.500 7.188 52.908
72.500 7.500 53.400
72.500 7.812 53.658
72.500 8.125 53.700
72.500 8.438 53.700
72.500 8.750 53.700
72.500 9.062 53.700
72.500 9.375 53.700
72.500 9.688 53.700
75.000 0.000 30.774
75.000 0.312 30.774
75.000 0.625 30.774
75.000 0.938 30.774
75.000 1.250 30.774
75.000 1.562 30.774
75.000 1.875 30.774
75.000 2.188 30.831
75.000 2.500 31.179
75.000 2.812 31.824
75.000 3.125 32.734
75.000 3.438 33.869
75.000 3.750 35.190
75.000 4.062 36.667
75.000 4.375 38.283
75.000 4.688 40.042
75.000 5.000 41.975
75.000 5.312 43.986
75.000 5.625 45.870
75.000 5.938 47.557
75.000 6.250 49.012
75.000 6.562 50.222
75.000 6.875 51.186
75.000 7.188 51.909
75.000 7.500 52.394
75.000 7.812 52.647
75.000 8.125 52.689
75.000 8.438 52.689
75.000 8.750 52.689
75.000 9.062 52.689
75.000 9.375 52.689
75.000 9.688 52.689
77.500 0.000 29.750
77.500 0.312 29.750
77.500 0.625 29.750
77.500 0.938 29.750
77.500 1.250 29.750
77.500 1.562 29.750
77.500 1.875 29.750
77.500 2.188 29.809
77.500 2.500 30.165
77.500 2.812 30.823
77.500 3.125 31.751
77.500 3.438 32.908
77.500 3.750 34.253
77.500 4.062 35.752
77.500 4.375 37.387
77.500 4.688 39.160
77.500 5.000 41.100
77.500 5.312 43.118
77.500 5.625 45.016
77.500 5.938 46.716
77.500 6.250 48.179
77.500 6.562 49.392
77.500 6.875 50.356
77.500 7.188 51.074
77.500 7.500 51.556
77.500 7.812 51.807
77.500 8.125 51.847
77.500 8.438 51.847
77.500 8.750 51.847
77.500 9.062 51.847
77.500 9.375 51.847
77.500 9.688 51.847
80.000 0.000 28.867
80.000 0.312 28.867
80.000 0.625 28.867
80.000 0.938 28.867
80.000 1.250 28.867
80.000 1.562 28.867
80.000 1.875 28.867
80.000 2.188 28.927
80.000 2.500 29.290
80.000 2.812 29.960
80.000 3.125 30.905
80.000 3.438 32.081
80.000 3.750 33.447
80.000 4.062 34.968
80.000 4.375 36.623
80.000 4.688 38.414
80.000 5.000 40.365
80.000 5.312 42.396
80.000 5.625 44.311
80.000 5.938 46.026
80.000 6.250 47.500
80.000 6.562 48.719
80.000 6.875 49.684
80.000 7.188 50.402
80.000 7.500 50.881
80.000 7.812 51.131
80.000 8.125 51.171
80.000 8.438 51.171
80.000 8.750 51.171
80.000 9.062 51.171
80.000 9.375 51.171
80.000 9.688 51.171
82.500 0.000 28.149
82.500 0.312 28.149
82.500 0.625 28.149
82.500 0.938 28.149
82.500 1.250 28.149
82.500 1.562 28.149
82.500 1.875 28.149
82.500 2.188 28.210
82.500 2.500 28.577
82.500 2.812 29.258
82.500 3.125 30.217
82.500 3.438 31.410
82.500 3.750 32.794
82.500 4.062 34.333
82.500 4.375 36.007
82.500 4.688 37.814
82.500 5.000 39.779
82.500 5.312 41.826
82.500 5.625 43.759
82.500 5.938 45.489
82.500 6.250 46.974
82.500 6.562 48.200
82.500 6.875 49.167
82.500 7.188 49.885
82.500 7.500 50.365
82.500 7.812 50.613
82.500 8.125 50.654
82.500 8.438 50.654
82.500 8.750 50.654
82.500 9.062 50.654
82.500 9.375 50.654
82.500 9.688 50.654
85.000 0.000 27.617
85.000 0.312 27.617
85.000 0.625 27.617
85.000 0.938 27.617
85.000 1.250 27.617
85.000 1.562 27.617
85.000 1.875 27.617
85.000 2.188 27.678
85.000 2.500 28.050
85.000 2.812 28.739
85.000 3.125 29.708
85.000 3.438 30.914
85.000 3.750 32.312
85.000 4.062 33.866
85.000 4.375 35.554
85.000 4.688 37.375
85.000 5.000 39.353
85.000 5.312 41.413
85.000 5.625 43.361
85.000 5.938 45.105
85.000 6.250 46.600
85.000 6.562 47.831
85.000 6.875 48.801
85.000 7.188 49.521
85.000 7.500 50.000
85.000 7.812 50.248
85.000 8.125 50.289
85.000 8.438 50.289
85.000 8.750 50.289
85.000 9.062 50.289
85.000 9.375 50.289
85.000 9.688 50.289
87.500 0.000 27.289
87.500 0.312 27.289
87.500 0.625 27.289
87.500 0.938 27.289
87.500 1.250 27.289
87.500 1.562 27.289
87.500 1.875 27.289
87.500 2.188 27.351
87.500 2.500 27.726
87.500 2.812 28.419
87.500 3.125 29.395
87.500 3.438 30.609
87.500 3.750 32.016
87.500 4.062 33.579
87.500 4.375 35.276
87.500 4.688 37.106
87.500 5.000 39.093
87.500 5.312 41.163
87.500 5.625 43.122
87.500 5.938 44.874
87.500 6.250 46.375
87.500 6.562 47.611
87.500 6.875 48.583
87.500 7.188 49.304
87.500 7.500 49.783
87.500 7.812 50.031
87.500 8.125 50.072
87.500 8.438 50.072
87.500 8.750 50.072
87.500 9.062 50.072
87.500 9.375 50.072
87.500 9.688 50.072
90.000 0.000 27.179
90.000 0.312 27.179
90.000 0.625 27.179
90.000 0.938 27.179
90.000 1.250 27.179
90.000 1.562 27.179
90.000 1.875 27.179
90.000 2.188 27.241
90.000 2.500 27.617
90.000 2.812 28.312
90.000 3.125 29.290
90.000 3.438 30.506
90.000 3.750 31.916
90.000 4.062 33.482
90.000 4.375 35.183
90.000 4.688 37.016
90.000 5.000 39.006
90.000 5.312 41.080
90.000 5.625 43.042
90.000 5.938 44.797
90.000 6.250 46.300
90.000 6.562 47.537
90.000 6.875 48.511
90.000 7.188 49.232
90.000 7.500 49.711
90.000 7.812 49.960
90.000 8.125 50.000
90.000 8.438 50.000
90.000 8.750 50.000
90.000 9.062 50.000
90.000 9.375 50.000
90.000 9.688 50.000
92.500 0.000 27.179
92.500 0.312 27.179
92.500 0.625 27.179
92.500 0.938 27.179
92.500 1.250 27.179
92.500 1.562 27.179
92.500 1.875 27.179
92.500 2.188 27.241
92.500 2.500 27.617
92.500 2.812 28.312
92.500 3.125 29.290
92.500 3.438 30.506
92.500 3.750 31.916
92.500 4.062 33.482
92.500 4.375 35.183
92.500 4.688 37.016
92.500 5.000 39.006
92.500 5.312 41.080
92.500 5.625 43.042
92.500 5.938 44.797
92.500 6.250 46.300
92.500 6.562 47.537
92.500 6.875 48.511
92.500 7.188 49.232
92.500 7.500 49.711
92.500 7.812 49.960
92.500 8.125 50.000
92.500 8.438 50.000
92.500 8.750 50.000
92.500 9.062 50.000
92.500 9.375 50.000
92.500 9.688 50.000
95.000 0.000 27.179
95.000 0.312 27.179
95.000 0.625 27.179
95.000 0.938 27.179
95.000 1.250 27.179
95.000 1.562 27.179
95.000 1.875 27.179
95.000 2.188 27.241
95.000 2.500 27.617
95.000 2.812 28.312
95.000 3.125 29.290
95.000 3.438 30.506
95.000 3.750 31.916
95.000 4.062 33.482
95.000 4.375 35.183
95.000 4.688 37.016
95.000 5.000 39.006
95.000 5.312 41.080
95.000 5.625 43.042
95.000 5.938 44.797
95.000 6.250 46.300
95.000 6.562 47.537
95.000 6.875 48.511
95.000 7.188 49.232
95.000 7.500 49.711
95.000 7.812 49.960
95.000 8.125 50.000
95.000 8.438 50.000
95.000 8.750 50.000
95.000 9.062 50.000
95.000 9.375 50.000
95.000 9.688 50.000
97.500 0.000 27.179
97.500 0.312 27.179
97.500 0.625 27.179
97.500 0.938 27.179
97.500 1.250 27.179
97.500 1.562 27.179
97.500 1.875 27.179
97.500 2.188 27.241
97.500 2.500 27.617
97.500 2.812 28.312
97.500 3.125 29.290
97.500 3.438 30.506
97.500 3.750 31.916
97.500 4.062 33.482
97.500 4.375 35.183
97.500 4.688 37.016
97.500 5.000 39.006
97.500 5.312 41.080
97.500 5.625 43.042
97.500 5.938 44.797
97.500 6.250 46.300
97.500 6.562 47.537
97.500 6.875 48.511
97.500 7.188 49.232
97.500 7.500 49.711
97.500 7.812 49.960
97.500 8.125 50.000
97.500 8.438 50.000
97.500 8.750 50.000
97.500 9.062 50.000
97.500 9.375 50.000
97.500 9.688 50.000
