LDLLevel HDLLevel HeartDiseaseRisk
28.125 87.500 0.000
28.125 90.625 0.000
28.125 93.750 0.000
28.125 96.875 0.000
37.500 0.000 5.000
37.500 3.125 5.000
37.500 6.250 5.000
37.500 9.375 5.000
37.500 12.500 5.000
37.500 15.625 5.000
37.500 18.750 5.000
37.500 21.875 5.000
37.500 25.000 5.000
37.500 28.125 5.000
37.500 31.250 5.000
37.500 34.375 5.000
37.500 37.500 4.375
37.500 40.625 3.594
37.500 43.750 2.812
37.500 46.875 2.500
37.500 50.000 2.500
37.500 53.125 2.500
37.500 56.250 2.188
37.500 59.375 1.406
37.500 62.500 0.625
37.500 65.625 0.000
37.500 68.750 0.000
37.500 71.875 0.000
37.500 75.000 0.000
37.500 78.125 0.000
37.500 81.250 0.000
37.500 84.375 0.000
37.500 87.500 0.000
37.500 90.625 0.000
37.500 93.750 0.000
37.500 96.875 0.000
46.875 0.000 5.000
46.875 3.125 5.000
46.875 6.250 5.000
46.875 9.375 5.000
46.875 12.500 5.000
46.875 15.625 5.000
46.875 18.750 5.000
46.875 21.875 5.000
46.875 25.000 5.000
46.875 28.125 5.000
46.875 31.250 5.000
46.875 34.375 5.000
46.875 37.500 4.375
46.875 40.625 3.594
46.875 43.750 2.812
46.875 46.875 2.500
46.875 50.000 2.500
46.875 53.125 2.500
46.875 56.250 2.188
46.875 59.375 1.406
46.875 62.500 0.625
46.875 65.625 0.000
46.875 68.750 0.000
46.875 71.875 0.000
46.875 75.000 0.000
46.875 78.125 0.000
46.875 81.250 0.000
46.875 84.375 0.000
46.875 87.500 0.000
46.875 90.625 0.000
46.875 93.750 0.000
46.875 96.875 0.000
56.250 0.000 5.000
56.250 3.125 5.000
56.250 6.250 5.000
56.250 9.375 5.000
56.250 12.500 5.000
56.250 15.625 5.000
56.250 18.750 5.000
56.250 21.875 5.000
56.250 25.000 5.000
56.250 28.125 5.000
56.250 31.250 5.000
56.250 34.375 5.000
56.250 37.500 4.375
56.250 40.625 3.594
56.250 43.750 2.812
56.250 46.875 2.500
56.250 50.000 2.500
56.250 53.125 2.500
56.250 56.250 2.188
56.250 59.375 1.406
56.250 62.500 0.625
56.250 65.625 0.000
56.250 68.750 0.000
56.250 71.875 0.000
56.250 75.000 0.000
56.250 78.125 0.000
56.250 81.250 0.000
56.250 84.375 0.000
56.250 87.500 0.000
56.250 90.625 0.000
56.250 93.750 0.000
56.250 96.875 0.000
65.625 0.000 5.000
65.625 3.125 5.000
65.625 6.250 5.000
65.625 9.375 5.000
65.625 12.500 5.000
65.625 15.625 5.000
65.625 18.750 5.000
65.625 21.875 5.000
65.625 25.000 5.000
65.625 28.125 5.000
65.625 31.250 5.000
65.625 34.375 5.000
65.625 37.500 4.375
65.625 40.625 3.594
65.625 43.750 2.812
65.625 46.875 2.500
65.625 50.000 2.500
65.625 53.125 2.500
65.625 56.250 2.188
65.625 59.375 1.406
65.625 62.500 0.625
65.625 65.625 0.000
65.625 68.750 0.000
65.625 71.875 0.000
65.625 75.000 0.000
65.625 78.125 0.000
65.625 81.250 0.000
65.625 84.375 0.000
65.625 87.500 0.000
65.625 90.625 0.000
65.625 93.750 0.000
65.625 96.875 0.000
75.000 0.000 5.000
75.000 3.125 5.000
75.000 6.250 5.000
75.000 9.375 5.000
75.000 12.500 5.000
75.000 15.625 5.000
75.000 18.750 5.000
75.000 21.875 5.000
75.000 25.000 5.000
75.000 28.125 5.000
75.000 31.250 5.000
75.000 34.375 5.000
75.000 37.500 4.375
75.000 40.625 3.594
75.000 43.750 2.812
75.000 46.875 2.500
75.000 50.000 2.500
75.000 53.125 2.500
75.000 56.250 2.188
75.000 59.375 1.406
75.000 62.500 0.625
75.000 65.625 0.000
75.000 68.750 0.000
75.000 71.875 0.000
75.000 75.000 0.000
75.000 78.125 0.000
75.000 81.250 0.000
75.000 84.375 0.000
75.000 87.500 0.000
75.000 90.625 0.000
75.000 93.750 0.000
75.000 96.875 0.000
84.375 0.000 5.000
84.375 3.125 5.000
84.375 6.250 5.000
84.375 9.375 5.000
84.375 12.500 5.000
84.375 15.625 5.000
84.375 18.750 5.000
84.375 21.875 5.000
84.375 25.000 5.000
84.375 28.125 5.000
84.375 31.250 5.000
84.375 34.375 5.000
84.375 37.500 4.375
84.375 40.625 3.594
84.375 43.750 2.812
84.375 46.875 2.500
84.375 50.000 2.500
84.375 53.125 2.500
84.375 56.250 2.188
84.375 59.375 1.406
84.375 62.500 0.625
84.375 65.625 0.000
84.375 68.750 0.000
84.375 71.875 0.000
84.375 75.000 0.000
84.375 78.125 0.000
84.375 81.250 0.000
84.375 84.375 0.000
84.375 87.500 0.000
84.375 90.625 0.000
84.375 93.750 0.000
84.375 96.875 0.000
93.750 0.000 5.000
93.750 3.125 5.000
93.750 6.250 5.000
93.750 9.375 5.000
93.750 12.500 5.000
93.750 15.625 5.000
93.750 18.750 5.000
93.750 21.875 5.000
93.750 25.000 5.000
93.750 28.125 5.000
93.750 31.250 5.000
93.750 34.375 5.000
93.750 37.500 4.205
93.750 40.625 3.636
93.750 43.750 3.000
93.750 46.875 2.500
93.750 50.000 2.500
93.750 53.125 2.500
93.750 56.250 2.250
93.750 59.375 1.705
93.750 62.500 1.136
93.750 65.625 0.469
93.750 68.750 0.469
93.750 71.875 0.469
93.750 75.000 0.469
93.750 78.125 0.469
93.750 81.250 0.469
93.750 84.375 0.469
93.750 87.500 0.469
93.750 90.625 0.469
93.750 93.750 0.469
93.750 96.875 0.469
103.125 0.000 5.000
103.125 3.125 5.000
103.125 6.250 5.000
103.125 9.375 5.000
103.125 12.500 5.000
103.125 15.625 5.000
103.125 18.750 5.000
103.125 21.875 5.000
103.125 25.000 5.000
103.125 28.125 5.000
103.125 31.250 5.000
103.125 34.375 5.000
103.125 37.500 4.167
103.125 40.625 3.657
103.125 43.750 3.000
103.125 46.875 2.500
103.125 50.000 2.500
103.125 53.125 2.500
103.125 56.250 2.250
103.125 59.375 1.991
103.125 62.500 1.927
103.125 65.625 1.641
103.125 68.750 1.641
103.125 71.875 1.641
103.125 75.000 1.641
103.125 78.125 1.641
103.125 81.250 1.641
103.125 84.375 1.641
103.125 87.500 1.641
103.125 90.625 1.641
103.125 93.750 1.641
103.125 96.875 1.641
112.500 0.000 5.000
112.500 3.125 5.000
112.500 6.250 5.000
112.500 9.375 5.000
112.500 12.500 5.000
112.500 15.625 5.000
112.500 18.750 5.000
112.500 21.875 5.000
112.500 25.000 5.000
112.500 28.125 5.000
112.500 31.250 5.000
112.500 34.375 5.000
112.500 37.500 4.375
112.500 40.625 3.594
112.500 43.750 2.812
112.500 46.875 2.500
112.500 50.000 2.500
112.500 53.125 2.500
112.500 56.250 2.500
112.500 59.375 2.500
112.500 62.500 2.500
112.500 65.625 2.500
112.500 68.750 2.500
112.500 71.875 2.500
112.500 75.000 2.500
112.500 78.125 2.500
112.500 81.250 2.500
112.500 84.375 2.500
112.500 87.500 2.500
112.500 90.625 2.500
112.500 93.750 2.500
112.500 96.875 2.500
121.875 0.000 5.234
121.875 3.125 5.234
121.875 6.250 5.234
121.875 9.375 5.234
121.875 12.500 5.234
121.875 15.625 5.234
121.875 18.750 5.234
121.875 21.875 5.234
121.875 25.000 5.234
121.875 28.125 5.234
121.875 31.250 5.234
121.875 34.375 5.234
121.875 37.500 4.671
121.875 40.625 4.013
121.875 43.750 3.355
121.875 46.875 2.734
121.875 50.000 2.734
121.875 53.125 2.734
121.875 56.250 2.697
121.875 59.375 2.697
121.875 62.500 2.697
121.875 65.625 2.500
121.875 68.750 2.500
121.875 71.875 2.500
121.875 75.000 2.500
121.875 78.125 2.500
121.875 81.250 2.500
121.875 84.375 2.500
121.875 87.500 2.500
121.875 90.625 2.500
121.875 93.750 2.500
121.875 96.875 2.500
131.250 0.000 6.406
131.250 3.125 6.406
131.250 6.250 6.406
131.250 9.375 6.406
131.250 12.500 6.406
131.250 15.625 6.406
131.250 18.750 6.406
131.250 21.875 6.406
131.250 25.000 6.406
131.250 28.125 6.406
131.250 31.250 6.406
131.250 34.375 6.406
131.250 37.500 5.521
131.250 40.625 5.000
131.250 43.750 4.375
131.250 46.875 3.906
131.250 50.000 3.906
131.250 53.125 3.906
131.250 56.250 3.625
131.250 59.375 3.250
131.250 62.500 2.917
131.250 65.625 2.500
131.250 68.750 2.500
131.250 71.875 2.500
131.250 75.000 2.500
131.250 78.125 2.500
131.250 81.250 2.500
131.250 84.375 2.500
131.250 87.500 2.500
131.250 90.625 2.500
131.250 93.750 2.500
131.250 96.875 2.500
140.625 0.000 7.500
140.625 3.125 7.500
140.625 6.250 7.500
140.625 9.375 7.500
140.625 12.500 7.500
140.625 15.625 7.500
140.625 18.750 7.500
140.625 21.875 7.500
140.625 25.000 7.500
140.625 28.125 7.500
140.625 31.250 7.500
140.625 34.375 7.500
140.625 37.500 6.875
140.625 40.625 6.094
140.625 43.750 5.312
140.625 46.875 5.000
140.625 50.000 5.000
140.625 53.125 5.000
140.625 56.250 4.688
140.625 59.375 3.906
140.625 62.500 3.125
140.625 65.625 2.500
140.625 68.750 2.500
140.625 71.875 2.500
140.625 75.000 2.500
140.625 78.125 2.500
140.625 81.250 2.500
140.625 84.375 2.500
140.625 87.500 2.500
140.625 90.625 2.500
140.625 93.750 2.500
140.625 96.875 2.500
150.000 0.000 7.500
150.000 3.125 7.500
150.000 6.250 7.500
150.000 9.375 7.500
150.000 12.500 7.500
150.000 15.625 7.500
150.000 18.750 7.500
150.000 21.875 7.500
150.000 25.000 7.500
150.000 28.125 7.500
150.000 31.250 7.500
150.000 34.375 7.500
150.000 37.500 6.875
150.000 40.625 6.094
150.000 43.750 5.312
150.000 46.875 5.000
150.000 50.000 5.000
150.000 53.125 5.000
150.000 56.250 4.688
150.000 59.375 3.906
150.000 62.500 3.125
150.000 65.625 2.500
150.000 68.750 2.500
150.000 71.875 2.500
150.000 75.000 2.500
150.000 78.125 2.500
150.000 81.250 2.500
150.000 84.375 2.500
150.000 87.500 2.500
150.000 90.625 2.500
150.000 93.750 2.500
150.000 96.875 2.500
159.375 0.000 7.500
159.375 3.125 7.500
159.375 6.250 7.500
159.375 9.375 7.500
159.375 12.500 7.500
159.375 15.625 7.500
159.375 18.750 7.500
159.375 21.875 7.500
159.375 25.000 7.500
159.375 28.125 7.500
159.375 31.250 7.500
159.375 34.375 7.500
159.375 37.500 7.083
159.375 40.625 6.792
159.375 43.750 6.438
159.375 46.875 6.172
159.375 50.000 6.172
159.375 53.125 6.172
159.375 56.250 5.688
159.375 59.375 5.042
159.375 62.500 4.531
159.375 65.625 3.672
159.375 68.750 3.672
159.375 71.875 3.672
159.375 75.000 3.672
159.375 78.125 3.672
159.375 81.250 3.672
159.375 84.375 3.672
159.375 87.500 3.672
159.375 90.625 3.672
159.375 93.750 3.672
159.375 96.875 3.672
168.750 0.000 7.500
168.750 3.125 7.500
168.750 6.250 7.500
168.750 9.375 7.500
168.750 12.500 7.500
168.750 15.625 7.500
168.750 18.750 7.500
168.750 21.875 7.500
168.750 25.000 7.500
168.750 28.125 7.500
168.750 31.250 7.500
168.750 34.375 7.500
168.750 37.500 7.361
168.750 40.625 7.361
168.750 43.750 7.361
168.750 46.875 7.344
168.750 50.000 7.344
168.750 53.125 7.344
168.750 56.250 6.806
168.750 59.375 6.111
168.750 62.500 5.417
168.750 65.625 4.844
168.750 68.750 4.844
168.750 71.875 4.844
168.750 75.000 4.844
168.750 78.125 4.844
168.750 81.250 4.844
168.750 84.375 4.844
168.750 87.500 4.844
168.750 90.625 4.844
168.750 93.750 4.844
168.750 96.875 4.844
178.125 0.000 7.500
178.125 3.125 7.500
178.125 6.250 7.500
178.125 9.375 7.500
178.125 12.500 7.500
178.125 15.625 7.500
178.125 18.750 7.500
178.125 21.875 7.500
178.125 25.000 7.500
178.125 28.125 7.500
178.125 31.250 7.500
178.125 34.375 7.500
178.125 37.500 7.500
178.125 40.625 7.500
178.125 43.750 7.500
178.125 46.875 7.500
178.125 50.000 7.500
178.125 53.125 7.500
178.125 56.250 7.188
178.125 59.375 6.406
178.125 62.500 5.625
178.125 65.625 5.000
178.125 68.750 5.000
178.125 71.875 5.000
178.125 75.000 5.000
178.125 78.125 5.000
178.125 81.250 5.000
178.125 84.375 5.000
178.125 87.500 5.000
178.125 90.625 5.000
178.125 93.750 5.000
178.125 96.875 5.000
187.500 0.000 8.438
187.500 3.125 8.438
187.500 6.250 8.438
187.500 9.375 8.438
187.500 12.500 8.438
187.500 15.625 8.438
187.500 18.750 8.438
187.500 21.875 8.438
187.500 25.000 8.438
187.500 28.125 8.438
187.500 31.250 8.438
187.500 34.375 8.438
187.500 37.500 8.125
187.500 40.625 8.036
187.500 43.750 7.750
187.500 46.875 7.500
187.500 50.000 7.500
187.500 53.125 7.500
187.500 56.250 7.000
187.500 59.375 6.339
187.500 62.500 5.833
187.500 65.625 5.000
187.500 68.750 5.000
187.500 71.875 5.000
187.500 75.000 5.000
187.500 78.125 5.000
187.500 81.250 5.000
187.500 84.375 5.000
187.500 87.500 5.000
187.500 90.625 5.000
187.500 93.750 5.000
187.500 96.875 5.000
196.875 0.000 9.609
196.875 3.125 9.609
196.875 6.250 9.609
196.875 9.375 9.609
196.875 12.500 9.609
196.875 15.625 9.609
196.875 18.750 9.609
196.875 21.875 9.609
196.875 25.000 9.609
196.875 28.125 9.609
196.875 31.250 9.609
196.875 34.375 9.609
196.875 37.500 8.929
196.875 40.625 8.333
196.875 43.750 7.750
196.875 46.875 7.500
196.875 50.000 7.500
196.875 53.125 7.500
196.875 56.250 7.000
196.875 59.375 6.369
196.875 62.500 5.774
196.875 65.625 5.000
196.875 68.750 5.000
196.875 71.875 5.000
196.875 75.000 5.000
196.875 78.125 5.000
196.875 81.250 5.000
196.875 84.375 5.000
196.875 87.500 5.000
196.875 90.625 5.000
196.875 93.750 5.000
196.875 96.875 5.000
206.250 0.000 10.000
206.250 3.125 10.000
206.250 6.250 10.000
206.250 9.375 10.000
206.250 12.500 10.000
206.250 15.625 10.000
206.250 18.750 10.000
206.250 21.875 10.000
206.250 25.000 10.000
206.250 28.125 10.000
206.250 31.250 10.000
206.250 34.375 10.000
206.250 37.500 9.375
206.250 40.625 8.594
206.250 43.750 7.812
206.250 46.875 7.500
206.250 50.000 7.500
206.250 53.125 7.500
206.250 56.250 7.188
206.250 59.375 6.406
206.250 62.500 5.625
206.250 65.625 5.000
206.250 68.750 5.000
206.250 71.875 5.000
206.250 75.000 5.000
206.250 78.125 5.000
206.250 81.250 5.000
206.250 84.375 5.000
206.250 87.500 5.000
206.250 90.625 5.000
206.250 93.750 5.000
206.250 96.875 5.000
215.625 0.000 10.000
215.625 3.125 10.000
215.625 6.250 10.000
215.625 9.375 10.000
215.625 12.500 10.000
215.625 15.625 10.000
215.625 18.750 10.000
215.625 21.875 10.000
215.625 25.000 10.000
215.625 28.125 10.000
215.625 31.250 10.000
215.625 34.375 10.000
215.625 37.500 9.375
215.625 40.625 8.594
215.625 43.750 7.812
215.625 46.875 7.500
215.625 50.000 7.500
215.625 53.125 7.500
215.625 56.250 7.188
215.625 59.375 6.406
215.625 62.500 5.625
215.625 65.625 5.000
215.625 68.750 5.000
215.625 71.875 5.000
215.625 75.000 5.000
215.625 78.125 5.000
215.625 81.250 5.000
215.625 84.375 5.000
215.625 87.500 5.000
215.625 90.625 5.000
215.625 93.750 5.000
215.625 96.875 5.000
225.000 0.000 10.000
225.000 3.125 10.000
225.000 6.250 10.000
225.000 9.375 10.000
225.000 12.500 10.000
225.000 15.625 10.000
225.000 18.750 10.000
225.000 21.875 10.000
225.000 25.000 10.000
225.000 28.125 10.000
225.000 31.250 10.000
225.000 34.375 10.000
225.000 37.500 9.375
225.000 40.625 8.594
225.000 43.750 7.812
225.000 46.875 7.500
225.000 50.000 7.500
225.000 53.125 7.500
225.000 56.250 7.188
225.000 59.375 6.406
225.000 62.500 5.625
225.000 65.625 5.000
225.000 68.750 5.000
225.000 71.875 5.000
225.000 75.000 5.000
225.000 78.125 5.000
225.000 81.250 5.000
225.000 84.375 5.000
225.000 87.500 5.000
225.000 90.625 5.000
225.000 93.750 5.000
225.000 96.875 5.000
234.375 0.000 10.000
234.375 3.125 10.000
234.375 6.250 10.000
234.375 9.375 10.000
234.375 12.500 10.000
234.375 15.625 10.000
234.375 18.750 10.000
234.375 21.875 10.000
234.375 25.000 10.000
234.375 28.125 10.000
234.375 31.250 10.000
234.375 34.375 10.000
234.375 37.500 9.375
234.375 40.625 8.594
234.375 43.750 7.812
234.375 46.875 7.500
234.375 50.000 7.500
234.375 53.125 7.500
234.375 56.250 7.188
234.375 59.375 6.406
234.375 62.500 5.625
234.375 65.625 5.000
234.375 68.750 5.000
234.375 71.875 5.000
234.375 75.000 5.000
234.375 78.125 5.000
234.375 81.250 5.000
234.375 84.375 5.000
234.375 87.500 5.000
234.375 90.625 5.000
234.375 93.750 5.000
234.375 96.875 5.000
243.750 0.000 10.000
243.750 3.125 10.000
243.750 6.250 10.000
243.750 9.375 10.000
243.750 12.500 10.000
243.750 15.625 10.000
243.750 18.750 10.000
243.750 21.875 10.000
243.750 25.000 10.000
243.750 28.125 10.000
243.750 31.250 10.000
243.750 34.375 10.000
243.750 37.500 9.375
243.750 40.625 8.594
243.750 43.750 7.812
243.750 46.875 7.500
243.750 50.000 7.500
243.750 53.125 7.500
243.750 56.250 7.188
243.750 59.375 6.406
243.750 62.500 5.625
243.750 65.625 5.000
243.750 68.750 5.000
243.750 71.875 5.000
243.750 75.000 5.000
243.750 78.125 5.000
243.750 81.250 5.000
243.750 84.375 5.000
243.750 87.500 5.000
243.750 90.625 5.000
243.750 93.750 5.000
243.750 96.875 5.000
253.125 0.000 10.000
253.125 3.125 10.000
253.125 6.250 10.000
253.125 9.375 10.000
253.125 12.500 10.000
253.125 15.625 10.000
253.125 18.750 10.000
253.125 21.875 10.000
253.125 25.000 10.000
253.125 28.125 10.000
253.125 31.250 10.000
253.125 34.375 10.000
253.125 37.500 9.375
253.125 40.625 8.594
253.125 43.750 7.812
253.125 46.875 7.500
253.125 50.000 7.500
253.125 53.125 7.500
253.125 56.250 7.188
253.125 59.375 6.406
253.125 62.500 5.625
253.125 65.625 5.000
253.125 68.750 5.000
253.125 71.875 5.000
253.125 75.000 5.000
253.125 78.125 5.000
253.125 81.250 5.000
253.125 84.375 5.000
253.125 87.500 5.000
253.125 90.625 5.000
253.125 93.750 5.000
253.125 96.875 5.000
262.500 0.000 10.000
262.500 3.125 10.000
262.500 6.250 10.000
262.500 9.375 10.000
262.500 12.500 10.000
262.500 15.625 10.000
262.500 18.750 10.000
262.500 21.875 10.000
262.500 25.000 10.000
262.500 28.125 10.000
262.500 31.250 10.000
262.500 34.375 10.000
262.500 37.500 9.375
262.500 40.625 8.594
262.500 43.750 7.812
262.500 46.875 7.500
262.500 50.000 7.500
262.500 53.125 7.500
262.500 56.250 7.188
262.500 59.375 6.406
262.500 62.500 5.625
262.500 65.625 5.000
262.500 68.750 5.000
262.500 71.875 5.000
262.500 75.000 5.000
262.500 78.125 5.000
262.500 81.250 5.000
262.500 84.375 5.000
262.500 87.500 5.000
262.500 90.625 5.000
262.500 93.750 5.000
262.500 96.875 5.000
271.875 0.000 10.000
271.875 3.125 10.000
271.875 6.250 10.000
271.875 9.375 10.000
271.875 12.500 10.000
271.875 15.625 10.000
271.875 18.750 10.000
271.875 21.875 10.000
271.875 25.000 10.000
271.875 28.125 10.000
271.875 31.250 10.000
271.875 34.375 10.000
271.875 37.500 9.375
271.875 40.625 8.594
271.875 43.750 7.812
271.875 46.875 7.500
271.875 50.000 7.500
271.875 53.125 7.500
271.875 56.250 7.188
271.875 59.375 6.406
271.875 62.500 5.625
271.875 65.625 5.000
271.875 68.750 5.000
271.875 71.875 5.000
271.875 75.000 5.000
271.875 78.125 5.000
271.875 81.250 5.000
271.875 84.375 5.000
271.875 87.500 5.000
271.875 90.625 5.000
271.875 93.750 5.000
271.875 96.875 5.000
281.250 0.000 10.000
281.250 3.125 10.000
281.250 6.250 10.000
281.250 9.375 10.000
281.250 12.500 10.000
281.250 15.625 10.000
281.250 18.750 10.000
281.250 21.875 10.000
281.250 25.000 10.000
281.250 28.125 10.000
281.250 31.250 10.000
281.250 34.375 10.000
281.250 37.500 9.375
281.250 40.625 8.594
281.250 43.750 7.812
281.250 46.875 7.500
281.250 50.000 7.500
281.250 53.125 7.500
281.250 56.250 7.188
281.250 59.375 6.406
281.250 62.500 5.625
281.250 65.625 5.000
281.250 68.750 5.000
281.250 71.875 5.000
281.250 75.000 5.000
281.250 78.125 5.000
281.250 81.250 5.000
281.250 84.375 5.000
281.250 87.500 5.000
281.250 90.625 5.000
281.250 93.750 5.000
281.250 96.875 5.000
290.625 0.000 10.000
290.625 3.125 10.000
290.625 6.250 10.000
290.625 9.375 10.000
290.625 12.500 10.000
290.625 15.625 10.000
290.625 18.750 10.000
290.625 21.875 10.000
290.625 25.000 10.000
290.625 28.125 10.000
290.625 31.250 10.000
290.625 34.375 10.000
290.625 37.500 9.375
290.625 40.625 8.594
290.625 43.750 7.812
290.625 46.875 7.500
290.625 50.000 7.500
290.625 53.125 7.500
290.625 56.250 7.188
290.625 59.375 6.406
290.625 62.500 5.625
290.625 65.625 5.000
290.625 68.750 5.000
290.625 71.875 5.000
290.625 75.000 5.000
290.625 78.125 5.000
290.625 81.250 5.000
290.625 84.375 5.000
290.625 87.500 5.000
290.625 90.625 5.000
290.625 93.750 5.000
290.625 96.875 5.000
