service food tip
3.750 9.688 20.461
4.062 0.000 9.517
4.062 0.312 9.517
4.062 0.625 9.517
4.062 0.938 9.517
4.062 1.250 9.849
4.062 1.562 10.341
4.062 1.875 10.943
4.062 2.188 11.698
4.062 2.500 12.674
4.062 2.812 13.982
4.062 3.125 14.704
4.062 3.438 14.704
4.062 3.750 14.704
4.062 4.062 14.704
4.062 4.375 14.704
4.062 4.688 14.704
4.062 5.000 14.704
4.062 5.312 14.704
4.062 5.625 14.704
4.062 5.938 14.704
4.062 6.250 14.704
4.062 6.562 14.704
4.062 6.875 14.704
4.062 7.188 15.724
4.062 7.500 17.044
4.062 7.812 18.035
4.062 8.125 18.807
4.062 8.438 19.424
4.062 8.750 19.930
4.062 9.062 20.273
4.062 9.375 20.273
4.062 9.688 20.273
4.375 0.000 9.790
4.375 0.312 9.790
4.375 0.625 9.790
4.375 0.938 9.790
4.375 1.250 10.124
4.375 1.562 10.613
4.375 1.875 11.206
4.375 2.188 11.938
4.375 2.500 12.867
4.375 2.812 14.082
4.375 3.125 14.857
4.375 3.438 14.857
4.375 3.750 14.857
4.375 4.062 14.857
4.375 4.375 14.857
4.375 4.688 14.857
4.375 5.000 14.857
4.375 5.312 14.857
4.375 5.625 14.857
4.375 5.938 14.857
4.375 6.250 14.857
4.375 6.562 14.857
4.375 6.875 14.857
4.375 7.188 15.776
4.375 7.500 16.996
4.375 7.812 17.931
4.375 8.125 18.671
4.375 8.438 19.270
4.375 8.750 19.766
4.375 9.062 20.105
4.375 9.375 20.105
4.375 9.688 20.105
4.688 0.000 9.960
4.688 0.312 9.960
4.688 0.625 9.960
4.688 0.938 9.960
4.688 1.250 10.294
4.688 1.562 10.781
4.688 1.875 11.367
4.688 2.188 12.084
4.688 2.500 12.984
4.688 2.812 14.145
4.688 3.125 14.942
4.688 3.438 14.942
4.688 3.750 14.942
4.688 4.062 14.942
4.688 4.375 14.942
4.688 4.688 14.942
4.688 5.000 14.942
4.688 5.312 14.942
4.688 5.625 14.942
4.688 5.938 14.942
4.688 6.250 14.942
4.688 6.562 14.942
4.688 6.875 14.942
4.688 7.188 15.798
4.688 7.500 16.961
4.688 7.812 17.863
4.688 8.125 18.583
4.688 8.438 19.171
4.688 8.750 19.661
4.688 9.062 19.997
4.688 9.375 19.997
4.688 9.688 19.997
5.000 0.000 10.029
5.000 0.312 10.029
5.000 0.625 10.029
5.000 0.938 10.029
5.000 1.250 10.364
5.000 1.562 10.850
5.000 1.875 11.434
5.000 2.188 12.146
5.000 2.500 13.037
5.000 2.812 14.181
5.000 3.125 15.000
5.000 3.438 15.000
5.000 3.750 15.000
5.000 4.062 15.000
5.000 4.375 15.000
5.000 4.688 15.000
5.000 5.000 15.000
5.000 5.312 15.000
5.000 5.625 15.000
5.000 5.938 15.000
5.000 6.250 15.000
5.000 6.562 15.000
5.000 6.875 15.000
5.000 7.188 15.819
5.000 7.500 16.963
5.000 7.812 17.854
5.000 8.125 18.566
5.000 8.438 19.150
5.000 8.750 19.636
5.000 9.062 19.971
5.000 9.375 19.971
5.000 9.688 19.971
5.312 0.000 10.003
5.312 0.312 10.003
5.312 0.625 10.003
5.312 0.938 10.003
5.312 1.250 10.339
5.312 1.562 10.829
5.312 1.875 11.417
5.312 2.188 12.137
5.312 2.500 13.039
5.312 2.812 14.202
5.312 3.125 15.058
5.312 3.438 15.058
5.312 3.750 15.058
5.312 4.062 15.058
5.312 4.375 15.058
5.312 4.688 15.058
5.312 5.000 15.058
5.312 5.312 15.058
5.312 5.625 15.058
5.312 5.938 15.058
5.312 6.250 15.058
5.312 6.562 15.058
5.312 6.875 15.058
5.312 7.188 15.855
5.312 7.500 17.016
5.312 7.812 17.916
5.312 8.125 18.633
5.312 8.438 19.219
5.312 8.750 19.706
5.312 9.062 20.040
5.312 9.375 20.040
5.312 9.688 20.040
5.625 0.000 9.895
5.625 0.312 9.895
5.625 0.625 9.895
5.625 0.938 9.895
5.625 1.250 10.234
5.625 1.562 10.730
5.625 1.875 11.329
5.625 2.188 12.069
5.625 2.500 13.004
5.625 2.812 14.224
5.625 3.125 15.143
5.625 3.438 15.143
5.625 3.750 15.143
5.625 4.062 15.143
5.625 4.375 15.143
5.625 4.688 15.143
5.625 5.000 15.143
5.625 5.312 15.143
5.625 5.625 15.143
5.625 5.938 15.143
5.625 6.250 15.143
5.625 6.562 15.143
5.625 6.875 15.143
5.625 7.188 15.918
5.625 7.500 17.133
5.625 7.812 18.062
5.625 8.125 18.794
5.625 8.438 19.387
5.625 8.750 19.876
5.625 9.062 20.210
5.625 9.375 20.210
5.625 9.688 20.210
5.938 0.000 9.727
5.938 0.312 9.727
5.938 0.625 9.727
5.938 0.938 9.727
5.938 1.250 10.070
5.938 1.562 10.576
5.938 1.875 11.193
5.938 2.188 11.965
5.938 2.500 12.956
5.938 2.812 14.276
5.938 3.125 15.296
5.938 3.438 15.296
5.938 3.750 15.296
5.938 4.062 15.296
5.938 4.375 15.296
5.938 4.688 15.296
5.938 5.000 15.296
5.938 5.312 15.296
5.938 5.625 15.296
5.938 5.938 15.296
5.938 6.250 15.296
5.938 6.562 15.296
5.938 6.875 15.296
5.938 7.188 16.018
5.938 7.500 17.326
5.938 7.812 18.302
5.938 8.125 19.057
5.938 8.438 19.659
5.938 8.750 20.151
5.938 9.062 20.483
5.938 9.375 20.483
5.938 9.688 20.483
6.250 0.000 9.539
6.250 0.312 9.539
6.250 0.625 9.539
6.250 0.938 9.539
6.250 1.250 9.888
6.250 1.562 10.407
6.250 1.875 11.051
6.250 2.188 11.868
6.250 2.500 12.941
6.250 2.812 14.410
6.250 3.125 15.583
6.250 3.438 15.583
6.250 3.750 15.583
6.250 4.062 15.583
6.250 4.375 15.583
6.250 4.688 15.583
6.250 5.000 15.583
6.250 5.312 15.583
6.250 5.625 15.583
6.250 5.938 15.583
6.250 6.250 15.583
6.250 6.562 15.583
6.250 6.875 15.583
6.250 7.188 16.169
6.250 7.500 17.611
6.250 7.812 18.648
6.250 8.125 19.430
6.250 8.438 20.041
6.250 8.750 20.531
6.250 9.062 20.858
6.250 9.375 20.858
6.250 9.688 20.858
6.562 0.000 9.390
6.562 0.312 9.390
6.562 0.625 9.390
6.562 0.938 9.390
6.562 1.250 9.749
6.562 1.562 10.290
6.562 1.875 10.970
6.562 2.188 11.850
6.562 2.500 13.034
6.562 2.812 14.714
6.562 3.125 16.106
6.562 3.438 16.106
6.562 3.750 16.106
6.562 4.062 16.106
6.562 4.375 16.106
6.562 4.688 16.106
6.562 5.000 16.106
6.562 5.312 16.106
6.562 5.625 16.106
6.562 5.938 16.106
6.562 6.250 16.106
6.562 6.562 16.106
6.562 6.875 16.106
6.562 7.188 16.388
6.562 7.500 18.006
6.562 7.812 19.113
6.562 8.125 19.917
6.562 8.438 20.528
6.562 8.750 21.008
6.562 9.062 21.323
6.562 9.375 21.323
6.562 9.688 21.323
6.875 0.000 9.365
6.875 0.312 9.365
6.875 0.625 9.365
6.875 0.938 9.365
6.875 1.250 9.742
6.875 1.562 10.316
6.875 1.875 11.048
6.875 2.188 12.014
6.875 2.500 13.347
6.875 2.812 15.307
6.875 3.125 16.995
6.875 3.438 16.995
6.875 3.750 16.995
6.875 4.062 16.995
6.875 4.375 16.995
6.875 4.688 16.995
6.875 5.000 16.995
6.875 5.312 16.995
6.875 5.625 16.995
6.875 5.938 16.995
6.875 6.250 16.995
6.875 6.562 16.995
6.875 6.875 16.995
6.875 7.188 16.995
6.875 7.500 18.531
6.875 7.812 19.701
6.875 8.125 20.512
6.875 8.438 21.108
6.875 8.750 21.565
6.875 9.062 21.859
6.875 9.375 21.859
6.875 9.688 21.859
7.188 0.000 9.547
7.188 0.312 9.547
7.188 0.625 9.547
7.188 0.938 9.547
7.188 1.250 9.955
7.188 1.562 10.582
7.188 1.875 11.389
7.188 2.188 12.469
7.188 2.500 13.989
7.188 2.812 16.287
7.188 3.125 18.330
7.188 3.438 18.330
7.188 3.750 18.330
7.188 4.062 18.330
7.188 4.375 18.330
7.188 4.688 18.330
7.188 5.000 18.330
7.188 5.312 18.330
7.188 5.625 18.330
7.188 5.938 18.330
7.188 6.250 18.330
7.188 6.562 18.330
7.188 6.875 18.330
7.188 7.188 18.330
7.188 7.500 19.199
7.188 7.812 20.405
7.188 8.125 21.196
7.188 8.438 21.755
7.188 8.750 22.170
7.188 9.062 22.433
7.188 9.375 22.433
7.188 9.688 22.433
7.500 0.000 9.991
7.500 0.312 9.991
7.500 0.625 9.991
7.500 0.938 9.991
7.500 1.250 10.446
7.500 1.562 11.144
7.500 1.875 12.049
7.500 2.188 13.266
7.500 2.500 14.991
7.500 2.812 17.626
7.500 3.125 20.000
7.500 3.438 20.000
7.500 3.750 20.000
7.500 4.062 20.000
7.500 4.375 20.000
7.500 4.688 20.000
7.500 5.000 20.000
7.500 5.312 20.000
7.500 5.625 20.000
7.500 5.938 20.000
7.500 6.250 20.000
7.500 6.562 20.000
7.500 6.875 20.000
7.500 7.188 20.000
7.500 7.500 20.006
7.500 7.812 21.197
7.500 8.125 21.929
7.500 8.438 22.424
7.500 8.750 22.782
7.500 9.062 23.004
7.500 9.375 23.004
7.500 9.688 23.004
7.812 0.000 10.686
7.812 0.312 10.686
7.812 0.625 10.686
7.812 0.938 10.686
7.812 1.250 11.197
7.812 1.562 11.980
7.812 1.875 12.989
7.812 2.188 14.340
7.812 2.500 16.241
7.812 2.812 19.114
7.812 3.125 21.670
7.812 3.438 21.670
7.812 3.750 21.670
7.812 4.062 21.670
7.812 4.375 21.670
7.812 4.688 21.670
7.812 5.000 21.670
7.812 5.312 21.670
7.812 5.625 21.670
7.812 5.938 21.670
7.812 6.250 21.670
7.812 6.562 21.670
7.812 6.875 21.670
7.812 7.188 21.670
7.812 7.500 21.670
7.812 7.812 22.020
7.812 8.125 22.654
7.812 8.438 23.065
7.812 8.750 23.354
7.812 9.062 23.529
7.812 9.375 23.529
7.812 9.688 23.529
8.125 0.000 11.551
8.125 0.312 11.551
8.125 0.625 11.551
8.125 0.938 11.551
8.125 1.250 12.117
8.125 1.562 12.979
8.125 1.875 14.077
8.125 2.188 15.527
8.125 2.500 17.528
8.125 2.812 20.469
8.125 3.125 23.004
8.125 3.438 23.004
8.125 3.750 23.004
8.125 4.062 23.004
8.125 4.375 23.004
8.125 4.688 23.004
8.125 5.000 23.004
8.125 5.312 23.004
8.125 5.625 23.004
8.125 5.938 23.004
8.125 6.250 23.004
8.125 6.562 23.004
8.125 6.875 23.004
8.125 7.188 23.004
8.125 7.500 23.004
8.125 7.812 23.004
8.125 8.125 23.313
8.125 8.438 23.629
8.125 8.750 23.846
8.125 9.062 23.975
8.125 9.375 23.975
8.125 9.688 23.975
8.438 0.000 12.468
8.438 0.312 12.468
8.438 0.625 12.468
8.438 0.938 12.468
8.438 1.250 13.079
8.438 1.562 13.998
8.438 1.875 15.154
8.438 2.188 16.651
8.438 2.500 18.666
8.438 2.812 21.523
8.438 3.125 23.893
8.438 3.438 23.893
8.438 3.750 23.893
8.438 4.062 23.893
8.438 4.375 23.893
8.438 4.688 23.893
8.438 5.000 23.893
8.438 5.312 23.893
8.438 5.625 23.893
8.438 5.938 23.893
8.438 6.250 23.893
8.438 6.562 23.893
8.438 6.875 23.893
8.438 7.188 23.893
8.438 7.500 23.893
8.438 7.812 23.893
8.438 8.125 23.893
8.438 8.438 24.085
8.438 8.750 24.236
8.438 9.062 24.325
8.438 9.375 24.325
8.438 9.688 24.325
8.750 0.000 13.324
8.750 0.312 13.324
8.750 0.625 13.324
8.750 0.938 13.324
8.750 1.250 13.964
8.750 1.562 14.918
8.750 1.875 16.098
8.750 2.188 17.597
8.750 2.500 19.564
8.750 2.812 22.259
8.750 3.125 24.415
8.750 3.438 24.415
8.750 3.750 24.415
8.750 4.062 24.415
8.750 4.375 24.415
8.750 4.688 24.415
8.750 5.000 24.415
8.750 5.312 24.415
8.750 5.625 24.415
8.750 5.938 24.415
8.750 6.250 24.415
8.750 6.562 24.415
8.750 6.875 24.415
8.750 7.188 24.415
8.750 7.500 24.415
8.750 7.812 24.415
8.750 8.125 24.415
8.750 8.438 24.424
8.750 8.750 24.522
8.750 9.062 24.579
8.750 9.375 24.579
8.750 9.688 24.579
9.062 0.000 14.040
9.062 0.312 14.040
9.062 0.625 14.040
9.062 0.938 14.040
9.062 1.250 14.696
9.062 1.562 15.663
9.062 1.875 16.844
9.062 2.188 18.319
9.062 2.500 20.214
9.062 2.812 22.738
9.062 3.125 24.699
9.062 3.438 24.699
9.062 3.750 24.699
9.062 4.062 24.699
9.062 4.375 24.699
9.062 4.688 24.699
9.062 5.000 24.699
9.062 5.312 24.699
9.062 5.625 24.699
9.062 5.938 24.699
9.062 6.250 24.699
9.062 6.562 24.699
9.062 6.875 24.699
9.062 7.188 24.699
9.062 7.500 24.699
9.062 7.812 24.699
9.062 8.125 24.699
9.062 8.438 24.699
9.062 8.750 24.716
9.062 9.062 24.751
9.062 9.375 24.751
9.062 9.688 24.751
9.375 0.000 14.569
9.375 0.312 14.569
9.375 0.625 14.569
9.375 0.938 14.569
9.375 1.250 15.232
9.375 1.562 16.201
9.375 1.875 17.373
9.375 2.188 18.818
9.375 2.500 20.646
9.375 2.812 23.032
9.375 3.125 24.847
9.375 3.438 24.847
9.375 3.750 24.847
9.375 4.062 24.847
9.375 4.375 24.847
9.375 4.688 24.847
9.375 5.000 24.847
9.375 5.312 24.847
9.375 5.625 24.847
9.375 5.938 24.847
9.375 6.250 24.847
9.375 6.562 24.847
9.375 6.875 24.847
9.375 7.188 24.847
9.375 7.500 24.847
9.375 7.812 24.847
9.375 8.125 24.847
9.375 8.438 24.847
9.375 8.750 24.847
9.375 9.062 24.860
9.375 9.375 24.860
9.375 9.688 24.860
9.688 0.000 14.892
9.688 0.312 14.892
9.688 0.625 14.892
9.688 0.938 14.892
9.688 1.250 15.556
9.688 1.562 16.524
9.688 1.875 17.686
9.688 2.188 19.110
9.688 2.500 20.894
9.688 2.812 23.194
9.688 3.125 24.923
9.688 3.438 24.923
9.688 3.750 24.923
9.688 4.062 24.923
9.688 4.375 24.923
9.688 4.688 24.923
9.688 5.000 24.923
9.688 5.312 24.923
9.688 5.625 24.923
9.688 5.938 24.923
9.688 6.250 24.923
9.688 6.562 24.923
9.688 6.875 24.923
9.688 7.188 24.923
9.688 7.500 24.923
9.688 7.812 24.923
9.688 8.125 24.923
9.688 8.438 24.923
9.688 8.750 24.923
9.688 9.062 24.925
9.688 9.375 24.925
9.688 9.688 24.925
